rating,aftertaste,aroma,body,flavor,coffee_origin,roast_level,roaster,roaster_location
94,9.0,8.4,9.0,9.0,"Los Santos, Tarrazú, Costa Rica",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
92,8.0,9.0,8.0,9.0,"West Valley, Costa Rica",Medium-Light,1980 CAFE,"Tainan City, Taiwan"
93,8.0,9.0,9.0,9.0,"Sidama growing region, southern Ethiopia",Medium-Light,1980 CAFE,"Tainan City, Taiwan"
93,8.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Light,1980 CAFE,"Tainan City, Taiwan"
94,8.0,9.0,9.0,9.0,"Urrao, Antioquia Department, Colombia",Light,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,"Ka‘ū growing region, Big Island of Hawai’i",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
90,7.0,8.0,8.0,9.0,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",Medium-Light,Trident Coffee,"San Diego, California"
92,8.0,8.0,8.0,9.0,"Cajamarca region, Peru",Medium,Trident Coffee,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Alishan, Chia-Yi, Taiwan",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Gedeo Zone, SNNP Region, southern Ethiopia",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
92,8.0,8.0,8.0,9.0,Colombia; Guatemala; Ethiopia,Medium-Light,Cafe Fugu Roasters,"Taipei City, Taiwan"
92,8.0,9.0,9.0,9.0,"Tarrazu growing region, Costa Rica",Medium-Light,Cafe Fugu Roasters,"Taipei City, Taiwan"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
94,8.0,9.0,9.0,9.0,Ethiopia; Kenya; Bolivia; Panama,Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
95,9.0,9.0,9.0,9.0,"Boquete growing region, Panama",Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
91,7.0,8.0,9.0,9.0,Ethiopia; Sumatra,Medium,Brand 425,"Kountze, Texas"
94,8.0,9.0,9.0,9.0,"Apaneca-Ilamatepec, El Salvador",Medium-Light,Interpretation Coffee,"Chia-Yi, Taiwan"
91,8.0,8.0,8.0,9.0,Sumatra; Colombia,Medium-Light,Desolate Café,"Nantou, Taiwan"
92,8.0,8.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Light,Desolate Café,"Nantou, Taiwan"
93,8.0,9.0,8.0,9.0,"Atok Benguet, northern Philippines",Medium-Light,Mostra Coffee,"San Diego, California"
95,9.0,9.0,9.0,9.0,"Huehuetenango, Guatemala",Medium-Light,PT's Coffee Roasting Co.,"Topeka, Kansas"
91,8.0,8.0,8.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,Drink Coffee Do Stuff,"Truckee, California"
92,8.0,8.0,8.0,9.0,"Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador",Medium-Light,Backporch Coffee Roasters,"Bend, Oregon"
92,8.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Breck Coffee Roasters,"Breckenridge, Colorado"
92,8.0,8.0,8.0,9.0,Tanzania,Medium-Light,Pink Elephant Coffee,"Park City, Utah"
92,8.0,9.0,8.0,9.0,Ethiopia,Light,Big Creek Coffee Roasters,"Hamilton, Montana"
92,8.0,9.0,8.0,9.0,"Kiambu County, Kenya",Medium-Light,Noble Coffee,"Ashland, Oregon"
93,8.0,9.0,8.0,9.0,"Nyeri County, Kenya",Light,Color Coffee,"Eagle, Colorado"
93,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Light,Nomadic Bean,"Jackson Hole, Wyoming"
93,8.0,9.0,8.0,9.0,"Kiambu County, Kenya",Medium-Light,Durango Coffee Company,"Durango, Colorado"
94,8.0,9.0,9.0,9.0,"Boquete growing region, Panama",Medium-Light,Vermont Artisan Coffee & Tea,"Waterbury Center, Vermont"
93,8.0,9.0,9.0,9.0,"Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,8.0,9.0,9.0,9.0,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,Roadmap CoffeeWorks,"Lexington, Virginia"
92,8.0,8.0,8.0,9.0,"Kabare, South Kivu Province, Democratic Republic of the Congo",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,9.0,9.0,9.0,"West Valley growing region, Costa Rica",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,8.0,9.0,9.0,9.0,"Ka‘u growing region, Big Island of Hawai’i",Medium-Light,Paradise Roasters,"Hilo, Hawaii"
94,8.0,9.0,9.0,9.0,"Kabiufa, Eastern Highlands, Papua New Guinea",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,9.0,9.0,9.0,Ethiopia; Costa Rica,Medium-Light,Desolate Café,"Nantou, Taiwan"
95,9.0,9.0,9.0,9.0,"Boquete growing region, western Panama",Light,modcup coffee,"Jersey City, New Jersey"
94,8.0,9.0,9.0,9.0,"San José de Minas, Pichincha Province, Ecuador",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,8.0,9.0,9.0,9.0,"Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
94,8.0,9.0,9.0,9.0,"Vereda Santa Rita, Manizales, Caldas, Colombia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,"Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
95,9.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
90,8.0,8.0,8.0,8.0,"Cau Dat, southwest Vietnam",Medium-Light,Peach Coffee Roasters,"St. Johns, Georgia"
92,8.0,9.0,8.0,9.0,"Antioquia Department, Colombia",Medium-Light,Coffee By Design,"Portland, Maine"
93,8.0,9.0,9.0,9.0,"Djimmah, Oromia Region, Ethiopia",Medium-Light,Coffee By Design,"Portland, Maine"
94,8.0,9.0,9.0,9.0,"Aceh Province, Sumatra, Indonesia",Light,Coffee By Design,"Portland, Maine"
94,8.0,9.0,9.0,9.0,"Aceh Province, Sumatra, Indonesia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,9.0,8.0,9.0,"Pitalito growing region, Huila Department, Colombia",Medium-Light,Topeca Coffee Roasters,"Tulsa, Oklahoma"
92,8.0,9.0,8.0,9.0,"Monte Verde, Santa Ana Department, central El Salvador",Medium-Light,Speedwell Coffee,"Plymouth, Massachusetts"
93,9.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Ethiopia",Light,St1 Cafe/Work Room,"Tainan City, Taiwan"
93,8.0,9.0,9.0,9.0,"Eastern Highlands, Papua New Guinea",Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,9.0,8.0,9.0,"Bombe Village, Bensa District, Sidamo growing region, Ethiopia",Medium-Light,MK Coffee Roasters,"Taipei, Taiwan"
93,8.0,9.0,9.0,9.0,"Mirado Village, Bensa District, Sidama Zone, Ethiopia",Medium-Light,Fieldheads Coffee Roasting,"Bigfork, Montana"
93,8.0,9.0,8.0,9.0,"Kochere District, Gedeo Zone, Ethiopia",Medium-Light,Evie's Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,9.0,9.0,"Kochere District, Gedeo Zone, Ethiopia",Medium-Light,Cup to Cup Coffee Roasters,"Savannah, Georgia"
93,8.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,Buon Caffe,"Taipei, Taiwan"
93,8.0,9.0,9.0,9.0,"Aceh Province, Sumatra, Indonesia",Medium-Light,Buon Caffe,"Taipei, Taiwan"
91,7.0,8.0,9.0,9.0,"La Coipa, Cajamarca, Peru",Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,8.0,9.0,9.0,9.0,"La Union, Nariño, Colombia",Light,Roadmap CoffeeWorks,"Lexington, Virginia"
95,9.0,9.0,9.0,9.0,"Caldas, Colombia",Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
93,8.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Ethiopia",Medium-Light,Jaunt Coffee Roasters,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Planadas, Tolima, Colombia",Medium-Light,Jaunt Coffee Roasters,"San Diego, California"
95,9.0,9.0,9.0,9.0,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,9.0,8.0,9.0,"Jinotega, Nicaragua",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
96,9.0,10.0,8.0,10.0,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawai’i"
93,8.0,9.0,8.0,9.0,"Antigua growing region, Guatemala",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,9.0,8.0,9.0,"Coatepec, Veracruz State, Mexico",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,8.0,9.0,9.0,"Cusco Province, Peru",Medium-Light,CafeTaster,"Taipei City, Taiwan"
95,9.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Medium-Light,CafeTaster,"Taipei City, Taiwan"
94,8.0,9.0,9.0,9.0,"Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,Yellow Brick Coffee,"Tucson, Arizona"
92,8.0,8.0,9.0,8.0,Ethiopia; Guatemala; Colombia; Brazil,Medium-Light,Muka Coffee,"Pingtung, Taiwan"
93,8.0,9.0,8.0,9.0,"Kochere District, Gedeo Zone, Ethiopia",Light,Muka Coffee,"Pingtung, Taiwan"
92,8.0,9.0,8.0,9.0,"Pingtung, Taiwan",Medium-Light,inLove Cafe,"Taichung, Taiwan"
95,9.0,9.0,9.0,9.0,"Gedeo Zone, SNNP Region, southern Ethiopia",Light,GK Coffee,"Yilan, Taiwan"
93,8.0,9.0,9.0,9.0,"Western Province, Rwanda",Medium-Light,Durango Coffee Company,"Durango, Colorado"
93,8.0,9.0,8.0,9.0,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium,Kona View Coffee,"Holualoa, Hawai’i"
91,7.0,9.0,8.0,9.0,"Cap Haitien, Haiti",Medium,Cafe Kreyol,"Manassas, Virginia"
92,8.0,9.0,8.0,9.0,Colombia,Light,Cafe Kreyol,"Manassas, Virginia"
93,8.0,9.0,9.0,9.0,Dominican Republic; Honduras,Medium,Cafe Kreyol,"Manassas, Virginia"
94,8.0,9.0,9.0,9.0,"Huarango, San Ignacio, Cajamarca growing region, Peru",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,"Valle del Cauca Department, Colombia",Light,Nostalgia Coffee Roasters,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Tolima Department, Colombia",Medium-Light,Cafe Kreyol,"Manassas, Virginia"
96,9.0,9.0,9.0,10.0,"Karundu, Nyeri County, Kenya",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
91,8.0,8.0,8.0,9.0,"Chiapas, Mexico",Medium-Light,Water Street Coffee,"Kalamazoo, Michigan"
91,8.0,8.0,8.0,9.0,"La Cañada, Oaxaca, Mexico",Medium-Light,Lone Coffee,"Escondido, California"
92,8.0,8.0,9.0,9.0,"Nyarita, Mexico",Medium-Light,Mostra Coffee,"San Diego, California"
93,8.0,9.0,9.0,9.0,"Oaxaca, Mexico",Medium-Light,Wonderstate Coffee,"Viroqua, Wisconsin"
93,8.0,9.0,9.0,9.0,"Chiapas, Mexico",Medium-Light,Speckled Ax,"Portland, Maine"
93,8.0,9.0,8.0,9.0,"Las Margaritas, Chiapas State, Mexico",Light,Fumi Coffee Company,"Hsinchu, Taiwan"
93,8.0,9.0,9.0,9.0,"Los Altos, Chiapas State, Mexico",Medium-Light,Badbeard’s Microroastery,"Portland, Oregon"
93,8.0,9.0,9.0,9.0,"Los Altos, Chiapas State, Mexico",Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
94,8.0,9.0,9.0,9.0,"Guerrero State, Mexico",Medium-Light,Revel Coffee,"Billings, Montana"
94,8.0,9.0,9.0,9.0,"Acatenango, Chimaltenango Department, Guatemala",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Acatenango, Chimaltenango Department, Guatemala",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Muhanga, Rwanda",Medium-Light,Temple Coffee,"Sacramento, California"
95,9.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Sidamo growing region, southern Ethiopia",Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,Temple Coffee,"Sacramento, California"
96,9.0,9.0,9.0,10.0,"Nyeri growing region, south-central Kenya",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Holualoa, Kona, Big Island of Hawai’i",Medium-Light,Big Island Coffee Roasters,"Mountain View, Hawaii"
94,8.0,9.0,9.0,9.0,"Holualoa, Kona, Big Island of Hawai’i",Light,Big Island Coffee Roasters,"Mountain View, Hawaii"
92,8.0,9.0,8.0,9.0,"Nyeri growing region, south-central Kenya",Light,Chousin Coffee Collection,"Xinbei, Taiwan"
92,8.0,9.0,8.0,9.0,"Lam Dong Province, Vietnam",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,9.0,9.0,9.0,"Pichincha Province, Ecuador",Light,Chousin Coffee Collection,"Xinbei, Taiwan"
94,8.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Light,Dory Coffee Roasters,"New Taipei City, Taiwan"
93,8.0,9.0,8.0,9.0,Thailand; Vietnam; Latin America,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,9.0,9.0,9.0,"Ka‘ū growing region, Big Island of Hawai’i",Light,Paradise Roasters,"Minneapolis, Minnesota"
94,9.0,9.0,8.0,9.0,"Kiambu County, Kenya",Medium-Light,Mostra Coffee,"San Diego, California"
94,9.0,9.0,8.0,9.0,"Djimma growing region, Oromia State, Ethiopia",Light,Branch Street Coffee Roasters,"Youngstown, Ohio"
94,8.0,9.0,9.0,9.0,"Alishan Township, Chiayi County, Taiwan",Medium,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan"
94,8.0,9.0,9.0,9.0,"Kiambu County, Kenya",Medium-Light,Mostra Coffee,"San Diego, California"
96,9.0,9.0,9.0,10.0,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawaii"
92,7.0,9.0,9.0,9.0,Ethiopia; Colombia,Light,David's Nose,"Taipei, Taiwan"
92,8.0,8.0,9.0,9.0,Ethiopia; Honduras,Medium-Light,David's Nose,"Taipei, Taiwan"
94,8.0,9.0,9.0,9.0,"Embu County, Kenya",Medium-Light,David's Nose,"Taipei, Taiwan"
92,8.0,8.0,9.0,9.0,Not disclosed,Medium,Roadmap CoffeeWorks,"Lexington, Virginia"
94,8.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,GK Coffee,"Yilan, Taiwan"
95,9.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Light,GK Coffee,"Yilan, Taiwan"
94,8.0,9.0,9.0,9.0,"Congonama, Loja, Ecuador",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,9.0,8.0,9.0,"Bench-Maji Zone, southern Ethiopia",Light,Taster's Coffee,"New Taipei City, Taiwan"
92,8.0,8.0,9.0,9.0,"La Dalia, Matagalpa Department, northern Nicaragua",Medium-Light,Equator Coffees,"San Rafael, California"
93,8.0,9.0,8.0,9.0,"Nariño Department, Colombia",Medium-Light,Press Coffee,"Phoenix, Arizona"
94,8.0,9.0,9.0,9.0,"Cusco Region, Peru",Medium-Light,Press Coffee,"Phoenix, Arizona"
94,8.0,9.0,9.0,9.0,"Trujillo, Valle del Cauca Department, Colombia",Medium-Light,Equator Coffees,"San Rafael, California"
92,8.0,9.0,9.0,8.0,"Mathira West District, Nyeri County, Kenya",Medium-Light,Vivid Coffee,"Burlington, Vermont"
92,8.0,9.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium,Sightseer Coffee,"Austin, Texas"
93,8.0,9.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Swelter Coffee,"El Cerrito, California"
93,8.0,9.0,9.0,9.0,"Tarrazu growing region, Costa Rica",Light,Rest Coffee Roasters,"Banqiao, New Taipei City, Taiwan"
93,8.0,9.0,8.0,9.0,"Nyeri County, Kenya",Medium-Light,ILSE Coffee Roasters,"North Canaan, Connecticut"
93,8.0,9.0,8.0,9.0,"Nyeri County, Kenya",Medium-Light,Blanchard's Coffee,"Richmond, Virginia"
94,8.0,9.0,9.0,9.0,"Pijao, Quindio Department, Colombia",Light,The Angry Roaster,"Toronto, Canada"
92,7.0,9.0,9.0,9.0,"Nariño, Colombia",Medium-Light,Old World Coffee Lab,"Reno, Nevada"
93,8.0,9.0,8.0,9.0,"Tarrazú, Costa Rica",Medium-Light,Old World Coffee Lab,"Reno, Nevada"
95,8.0,10.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,SOT Coffee Roaster,"Osaka, Japan"
90,7.0,8.0,9.0,9.0,Colombia,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
93,8.0,9.0,9.0,9.0,"Sidamo growing region, Ethiopia",Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,8.0,8.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,8.0,9.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
92,8.0,9.0,8.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,8.0,8.0,9.0,9.0,"Guji Zone, Oromia Region, Ethiopia",Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
94,8.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
93,8.0,9.0,8.0,9.0,"Masaguara, Intibucá Department, Honduras",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Alishan, Chia-Yi, Taiwan",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
96,9.0,9.0,9.0,10.0,"La Libertad, Huehuetenango Department, Guatemala",Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Tarrazú, Costa Rica",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
93,8.0,9.0,8.0,9.0,"Costa Rica, El Salvador",Medium,RamsHead Coffee Roasters,"Bozeman, Montana"
93,8.0,9.0,9.0,9.0,"El Salvador, Guatemala",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
94,8.0,9.0,9.0,9.0,Ethiopia; Colombia,Light,Bargain Cafe,"Taitung, Taiwan"
92,8.0,8.0,9.0,9.0,"Tarrazu growing region, Costa Rica",Medium-Light,Balmy Day Coffee Office,"Taoyuan, Taiwan"
95,9.0,9.0,9.0,9.0,"Cauca Department, Colombia",Medium-Light,JYL Cafe,"Changhua, Taiwan"
93,8.0,9.0,9.0,9.0,"Tarrazu growing region, Costa Rica",Medium-Light,Chiming Coffee,"Hsinchu, Taiwan"
90,8.0,8.0,8.0,8.0,"Tarrazu growing region, Costa Rica",Medium-Light,Chiming Coffee,"Hsinchu, Taiwan"
92,8.0,9.0,8.0,9.0,"Cauca Department, Colombia",Light,Rubasse Coffee Roaster,"New Taipei City, Taiwan"
92,7.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Light,Bargain Cafe,"Taitung, Taiwan"
90,8.0,8.0,8.0,8.0,Ethiopia,Medium-Light,Bargain Cafe,"Taitung, Taiwan"
95,9.0,9.0,9.0,9.0,"Djimma growing region, Oromia State, Ethiopia",Medium-Light,Magnolia Coffee,"Charlotte, North Carolina"
95,9.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Medium-Light,Cozy House Coffee,"Taipei City, Taiwan"
94,8.0,9.0,9.0,9.0,"Western Highlands Province, Papua New Guinea",Medium-Light,Cozy House Coffee,"Taipei City, Taiwan"
94,8.0,9.0,9.0,9.0,Kenya; Costa Rica; Ethiopia,Medium-Light,Cozy House Coffee,"Taipei City, Taiwan"
93,8.0,8.0,9.0,9.0,Brazil; Costa Rica; Guatemala,Medium-Light,Cozy House Coffee,"Taipei City, Taiwan"
95,9.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Light,Fumi Coffee Company,"Hsinchu, Taiwan"
93,8.0,9.0,9.0,9.0,"Cajamarca, Peru",Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
93,8.0,9.0,9.0,9.0,"Kayanza, Burundi",Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
96,9.0,9.0,9.0,10.0,"Saraguro, Loja, Ecuador",Light,GK Coffee,"Yilan, Taiwan"
94,9.0,9.0,9.0,9.0,"Sabanilla de Alajuela growing region, Costa Rica",Medium-Light,Durango Coffee Company,"Durango, Colorado"
95,9.0,9.0,9.0,9.0,"Kona growing region, “Big Island” of Hawai’i",Medium-Light,San Francisco Bay Coffee Company,"Lincoln, California"
93,8.0,9.0,9.0,9.0,"Fraijanes Plateau, Guatemala",Medium-Light,Euphora Coffee,"Taipei, Taiwan"
95,9.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,Euphora Coffee,"Taipei, Taiwan"
93,8.0,8.0,9.0,9.0,Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Medium-Light,Euphora,"Taipei, Taiwan"
95,8.0,9.0,9.0,9.0,Ethiopia; Guatemala; El Salvador; Panama; Costa Rica,Medium,Kasasagi Coffee Roasters,"Taipei, Taiwan"
92,8.0,9.0,8.0,9.0,"Sierra Madre, Chiapas State, Mexico",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,8.0,9.0,9.0,9.0,"Armenia, Quindio Department, Colombia",Medium-Light,modcup coffee,"Jersey City, New Jersey"
93,8.0,9.0,9.0,9.0,"Armenia, Quindio Department, Colombia; Ethiopia",Light,modcup coffee,"Jersey City, New Jersey"
94,9.0,9.0,9.0,9.0,"Armenia, Quindio Department, Colombia",Medium-Light,modcup coffee,"Jersey City, New Jersey"
93,8.0,9.0,9.0,9.0,"Armenia, Quindio Department, Colombia",Light,modcup coffee,"Jersey City, New Jersey"
95,9.0,9.0,9.0,9.0,"Armenia, Quindio Department, Colombia",Medium-Light,modcup coffee,"Jersey City, New Jersey"
91,8.0,8.0,8.0,9.0,"Antigua growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
91,7.0,9.0,9.0,8.0,"Antigua growing region, Guatemala",Medium,El Gran Cafe,"Antigua, Guatemala"
92,8.0,9.0,8.0,9.0,"Antigua growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
94,8.0,9.0,9.0,9.0,"Cobán growing region, Alta Verapaz Department, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
94,8.0,9.0,9.0,9.0,"Antigua growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
93,8.0,9.0,8.0,9.0,"Lake Atitlán growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
93,8.0,9.0,8.0,9.0,"Antigua growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
93,8.0,9.0,8.0,9.0,"Antigua growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
92,8.0,8.0,9.0,9.0,"Lake Atitlán growing region, Guatemala",Medium-Light,El Gran Cafe,"Antigua, Guatemala"
92,8.0,9.0,8.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Samlin Coffee,"New Taipei City, Taiwan"
94,8.0,9.0,9.0,9.0,"Nyamasheke District, Lake Kivu, Rwanda",Medium-Light,Magnolia Coffee,"Charlotte, North Carolina"
